nohaaa,2a5eraaan
dna 5ery m8r2ni,lma akfi nafsi elm3fnen ely zaiko hi3esho ezay
Mashy a 88,:)
Khlas aly bena kulo antahaa,W msh haft7 whats tani
a7sn bardo 5alni arta7 mnk wmn tolt lsank welt aslk,a7sn bardo da 3ez eltalb ymkn ttlm wtzakr
Ma ana bfakr fe kda,W ahu akhls menk
W men lamdtk,:)
Wlahy men enharda,Y bukra. B l kter
Hshofli mobile so3'yr amshi beh,Ah
a7sn bardo,m3 alf salama
L waty hyfdl waty,Ana h2um azaker
La,2ultlk merci fe l center mardtesh
hhhhhhhhhhhh,na btmnalk el5er
eshkorni 3la elalm elawl,A3mlk eh aktr mn kda
nta ?!,W nw bt3irini
Ah,2ultlk merci
W adthomlk,dnta edtholi b2rf wmashet
7ta na est8rbt,:)
wallhi msm3tk,nta bastli barf wallhi 7ta na mfhmtksh
:),Haboslk b arf lehh
Hwa 2ali 3ndo exam shaml,Hwa lsa 2yali kda nw
Hader,:)
howa himt7n ablya wesh,fna 3aizah y2olk eh ely ga fe elexamz welrosomat wnta tegy t2oli
fahm 7aga?,Awl lma yamt7n hy2oli
W hab2a ab3tlk msg,Lw kunt aflt srv
Tmm,Hwa hymt7no yum l sabt
T2riban,ah wnby mtnsa
w5alih ybos 3la elnamazg eltanya bardo 3ashan aked msh himt7n nafs elnamozg bta3o,k bs wnby mttnsh na mo3tmda 3alik e3ml 7aga mofida mara w7da fe 7aiatk
:),A3ml l sa7 y 7azl2om
Hadr,Fahmt khlac
k yb2a na hib2a lsa 3andi w2t sabt w7d,moshkra
welrosomat ahm 7aga elrosmat fe el3 namazg,ah ya ooz yaret
astmna y3ni,Astmni ahu
H2om akhls l ryada,W agy
Ma ana 2ult kda bardo nas kter 2loli leh,:)
wro7 zakr b2a,Hakhls w agy
gbthom na ,:)
Laa mish 3gbani ana 3gbani ely e7na el 3 feha sawa,bosi homa kolhom 3agbni ela bt3ty nw wnada t7si n weshi hifl2 
:),Ana bakrh washi lma ya5s
mb7bsh weshi yt5n,na bkrh weshi lma yt5n bifl2
:),la howa 7lw kda kolna bn7bo 
:),la aked fe nas kter bt7bo bs msh adra t3trflk 
:),Laa bsra7aa el wla kan mo2db el 7a2 yt2al
Hahahahhahaha,leh ya roza kda
na b7sb n na law7di bs ely kda,na kol ma 7d yklmni y2oli kona bn2ol kaza wkaza wna anbhr b2)
:),Hahahhahahahah watyaaaa
:),:)
3ashan na bst7rm elsar7a ,7ata el a7lam feha goz2 shmal xD
ah omal eh,:)
la la sry m3mlhash de abtn na bente nas,:)
hhhhhhhhhhh na olt kda ,:)
Eh ya zomol,asa7bi 
3mla eh abasha,Hhhhhhhhhhhhhhhhhhh
Da m4 amt7an da bynt2m mnna,dahry msh adra ela3da 2day fash5tli dhri
aiwa bgd na b2ol lsa7bty altli e7na akml mbidnash examz tawela kda,A7la 7aga a7l w a2ol 5las hant 2la2y blawy b3d kda
a7eh bgd da mafihosh wala mostl7 wa7ed,Wla a5tyarat wla aklm 7ta da yo3tbr gayb kol ely a5dnah
aiwa bgd gaibna nasm3 elabwab,wy2olk htshkoroni
msh ht2dri da edo merzaba,Eh mgrba wla eh
Bs mrs tyb wlahy,la tb3n bs mn ely bshofo m3 el3aial
ah howa 3acl bs bit8aba fe elexamz bgd,"Bs mtfkrne4 3l4an ana b7awl a3ml delete
Ll yom da mn awlo"
hhhhhhhhhhhhhh,rabna ystor 3la eldargat
Ya sety a7na 3mlna ely 3lena w elba2y 3la rbna,ya rab
Btro7y elmdrsa,ro7t eltalat ely fat
W eh elnzam,mo7drat
Meeet 5ra,Ana ry7a bokra isa
rabna y2wiky na kont bnam,3la 3eny wlahy bs lesa mdf3r4 elmsaref
whoma lakaken wmbiskotosh,Mdf3t4
Tb w eh nzam eltzwe8,W ana 3 yom lya bokra
la na daf3tha el7l,na asln mn awl leterm ro7t 3 ayam bs
la mafesh 5ales,katmt nafs w7sha awi
Ayoooo 3la om el2rf,la bgd r5men awi fe el7Awar da
na kont nazla adf3 elmasref kan fe ragel t7t kda bhdlni wz32li w2li ttl3i tgebi mn moshrft eldor ezn,W anty 3mlty eh
Da ana lw mnk mkont4 sktlo,lma tshofih tmw ht3rfi na sakt eh
Hwa bykon feeen,t7t fe el7osh
T5een kda w m3ndo4 sh3r,la msh ehab
W t5een bardo,wa7ed tany asmr kda
Mmmm,Rbna y3dy bokra 3la 5er
y3ni,ya rab
:),:)
:),:)
:),:)
:),:)
:),Maho kol el nas shafeto
:),:)
:),:)
:),:)
:),:)
:),:)
:),Sokkara
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
mafesh ay 7aga ya sa7by,Mfesh 7aga wala eh
Y rooooo7y nta,:)
:),Ahmed klmny fyh a
:),:)
Na kwyesa toul mnta gmby w edak f edya zy ma kunt m3aia enharda w hfdl kwyesa beek w lik toul mnta m3aia,:)
:),Wnta ebn alpy w na bdooob feek w b3sh2k
:),Na msh 3arfa b3d kda lma tsafer ana h3ml a f bo3dak wla hb2a 3amla ezay wla lma tw7shny w a7b ashufak h3ml a
Walahy mumken ygrali 7aga,:)
Y raaaaaab dady,:)
:),L2 da kda msh bnty nta kda gdo
Na tl3a el 3mara aho w el mob 2%,:)
:),Dady hy5li balo mno
Mni*,:)
Klmni 7alan,Ksmn belah ana b3bodaaaaaak 3badaaaaa kda
W msh 3arfa lw fdlt 7obak yzid kda hywsl lfen,:)
:),Bamoooot f el trngat el sodaaa
:),A da
Gmal omk malosh 7doood,:)
Htb2a tgib trngat soda f hgazak y 2lpy sa7,:)
Dyh statue 3ayzak tktbo mumken?,:)
:),Da 3shan el bnat eli 3arfin rkmk w folana w 3elana huh
Nta fahemny kwayes tab3an,:)
:),Nta ktbto 5alas
W wa5do copy mny kaman,:)
7abibiiiiii y naaaas,:)
:),7adr
Bye mo2akat,:)
7abibi mumken anzl ashtry zbady mn el super market t7t?,:)
Kda w mtdnish kiss,3mlt a kol da bbe
:),Ok y alpy hto3od tzaker wla ht3mly a batety
:),Lw msh m3ak flos msh tsh7en
Na hft7 baka,Opaaa p2aaa
:),Nta 3amel seshwar f sh3rk?
:),:)
:),7lw aowiii
:),3obal ma tsr2 shampoo mn bta3y
:),:)
Awiiiii,:)
7abibiiiiii rbna my7rmnish mnk,:)
:),La na mfngela aho
S7yalak w fy2alak,M2drsh anam w gozi sa7y
:),:)
L2 na msh 3ayza anan,:)
Aw3edak y alpy awel ma ygili nom hklmk a2olak na hnam,:)
L2aaaa,:)
E2fl el whats,Wna low 3ozt 7aga hrnelak
:),Bardo
:),:)
3shan mtt3tlsh kol shwya tboselo w kida w 3shan el sha7n,Na a3da btfrg 3l t.c
T.v,:)
Zaker vdamiiir y ro7y belah 3lek,:)
:),Wla y7rmny mn 7ob a7san ragel el donia
Ama nshof,:)
7abibi na lsa nzla ha,Na wslt y alpy
:),:)
:),Aywaaaa
:),Nta 5ayef tsawar weshak
:),:)
Zy elethum,Na msh 3ayza soret 7mada w 5alas
Na 3ayzak kolak 3la b3d,W malak mkshr leh
nonooo,enty ur debit card eih nzamha
yooh,tyb
baolk eih enty mameltinish el forma eli aktt,aktb biha
ashn flos,w kaman
Nseet,ayza atl3 card lel hssab bt3y
Tayeb Ana Hanam w as7a akalmk ok?,Ha2olk te3mli eh
mmkn call me sawani,<audio omitted>
ahli masri,khalas ana w marwan are over
What?!,How
What happened ??,His parents ??
msh arfa abtl 3yatt,w albi wag3ni awi
Ya habebti ,Rime
Ana asfa,ana mkntsh mtkhyla eni i love him keda msh aktr
hamdll,Habebti
Ana gambk,rbna hays3dni m sure
isaaa,Han3adeha together
isaaa,:)
Have faith w sebeha 3ala rabena,sahhh
haderr,shokrann for this
bgd,:)
:))),rbna ykhliko leya
Mmmmwahhh,mwahhh
Aiwan,Tenzel ?
Robesta ?,Sa3b wlhy ya manoys bzaker
Manous*,W shwya nazel 3ndy t7dir
Hala,:)
:),:)
3amleen eh koloko?? Wa7ashtoonyy,Menooooo wnty kman
Mbtnzlesh leh ,3ashan 3'aleban mo3zam el ayam baroo7 el nady w keda
Bas walahii 3ayza ashofkoo,Nenzl kolna bkra
3obalk mtwl3y kda,Hahahahaha
Karim ana khalass estaslemt,Ana baheb nafsii kedaa
Bekhdoudd w gamillaa,W be hagat tanya w gameela batdo
Bardo *,Hahahahahaha hagat tanyaaa 
Hahahahahhahahahahahahahahhaha,Hahahahhaaha
Tayb nini w sara te7ebo fein w emta? :),Saturday ok m3aya bardo..w lattino ok m3aya bardo
:),Ana maro7tesh latino mesh 3rfa aro7o ba2aly 3 marat 3ashan el rakna
Leh ya sarsora feeh parking there,:)
:),W ana kman
:),Tamam
Ya salam ,Lol
Mfesh mora3a lsho3ory,:)
W ana bardo ya monmon kan nafsy fy 5roga zy bt3t ba7ry dw,De*
Ahhh bas 3latool za7ma,Soukkiii
3ayza ashofk,Isaaa habebtyyy
:),:)
:),:)
Mahy,D rkm fr3 miami
Hwa man 3lyna wageb,Msh fahma
Kan 3lyna wageeb,Ihna mahdrnash l hessa
Ma3rfsh edahom haga wla la2,Ah s7
Hahahahahaha,Had mn 3ndk kalemo?
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
:),:)
At 11 i ll do the reports inahaAllah,"Rude 3ala 2eh bas, 2ana moush fahma 7aga,  anyway 2ana moush gaya l naharda wel report 7atla2iha ma7touta 3andi fel pigeonhole beta3i low fadya l naharda 5odihem menno, Low moush fadya yeb2a bokra ISA"
Bas 7awel teseb fekret safar 7aba,Ana 3ayz a5tob
W lw wf2o any a5tob w ana 3ala 2000,Haro7
Gmo2,Ana shakli hasebko :'-(
Mo2,En gded
Bosi el dafa kolha btrg7 amshy,Ana ha5od 2000 w awel sana 2500
"Mortb mt7wl 3ala bank 
Ta2men s7y zy ma oltlk",7asa 27san kter b Sara7aa
:-( aha,:'-(
Bas saly est5araaa,Mafrood any agy bokra aklmhm n da last month
Kobaaa ba2aaaa,Tant mametak ra2yaha eh
"Bsra7a ah koba :-( 
Bene w benk ana msh 3ayz asebko",Mama el nta 3ayzo a3mlo
:),Kda Kda msh 7tsrbna 7b2a 3la 2albak
La w rbna m2olt,W7shteeeeeeny
Wntey kmaaaaaaan,Hya lazm tb2a sf7teen
Hahhahha,Srry b3tlk sf7teen deh 8lt
3mla eh e7keely,25bar el dunia m3aky eh
Wlahu mfish,Coursat
W bs,Zyy y3ny
3mlty eh fel mid,Tmam al7mdlallah
Ana 5yfa mn al final,Tanya sa3ba ??
La msh s3ba bs m7taga t3fry feeha,Ahahahahah :D
Ana 5yfa awi bgd,La la madam bt5dy courses el dunia 7tmshy
Bs hya madaa esmha public bnt steen f sab3een,3yza 7efz
:/,Fe taba3 a
Business,Msh tb3 7aga
Hya m3 nfsha keda,Bs ya setty 7t3dy
Rbna yostor,Anty 3mla a fldonia
:D,Mt2l2eesh ya 3sl
Zh2ana mnhaaa,Wlahy hea tzaha2
:),:)
Bs ana bs,:)
La ana m7tag afsl 3an nas kolha astgm :),:)
:),B2olk nta fen bokra
:),:)
Tb ana fe 7aga w msh 3arf a5od feha kraar,:)
Bokra a7kilk,:)
Ana gayli work b 2000,"Start 2000 
W ana ba5od 1500"
:),An 3ayz asafer
W homa need astmrarya,W ana need assafer sya7aa emirates
Mohanad,:)
:),:)
:),Ana 3ayz aro7 mar2ia
A5dt agaza frm talat ll gom3aa,:)
:),Nta fe moshkala wala la
?!!,:)
Yom talat b3d dohr,:)
Ahmed aol l zizo el cours bokra isa,5ale eklmny
Anta eh yabny malk 7lalna kda leh mbtsalsh leh,:)
Fe fa3 en baolk anzl m3ana ana asdy soal mogrd el soal bra7t 3ady ana btklm m3ak malk at7mat awy kda,Far2
:),Moshkren lzoak w kman btsgtmny
Wmlao,3andk bokra amta isa
:),:)
Tb ana 7kon hnak isa,12 bzbt isa
:),:)
:),Mabrooooooooooooook 
:),Wlahy fr7mak awy mabroooook a5ern 
Fr7nk,:)
:),7abib koktak
:),Fenak y ro7y
:),Walahy na aktaaar bkteeeeeer
5lst 3nd zizo,:)
:),La y 2lpy wna lw z3lana kan zmani bklmk kda
Na bs 3m zft da kan gmby w mkontsh 3arfa atkalem,:)
B7baaaaaaaaaaaaaaak awi Walahy w bamooot f sra7tak di bt7bbny feek aktar,Fyh 7d yb2a m3ah el amr da w ydaye2
:),B7trmak fsh5 bgd
Taban ltwado3ak y alpy,:)
:),:)
3obal ma ttl3 betna bbty,:)
:),A3ml a y3ni
:),Amout ana
Alaaaaah,:)
:),:)
Uuoofffff,:)
Ahmed na m7tagalak aowiii,:)
El sora el awlnya sa3ba awiiii,:)
Ahmed na b7bk,:)
:),:)
:),:)
:),:)
Btkalem min,:)
Hb2a ash8lo w adohulak bbe lma el net f da y5las,Msh msh8ol b7d 8ery y3ni y alpy
:),Ro7 already. Koktak nta aslun
:),:)
Nta eli fen na lma 5lst klmtk kan phonak m2fol,:)
Na 3nd el ragel nw,:)
:),Klmni y alpy
:),Ok tmm mstnyak mtt25rsh 3lia
:),:)
Aywa y ro7y,W bgrb el jaket
:),El lamba eli odam el mtb5 et7r2t na nfsy msh 3arfa ashofo kwayes
Isa bokra tshofo 3lia,:)
:),Ahmed bt3ml a
:),Na m7taga asm3 sotak awi
:),Na nazla aho y alpy
Bt3ml a y wa8d,:)
el karneh da3 mny w day5a 3leh,:)
:),D5lt w kot mskah f eidy bdwr 3leh b3d kda ml2tosh w da fyh rkm el glos
D3t 5alas y Ahmed,:)
:),:)
:),:)
Haga pops khaless ,Wahshtouniii ya 
<audio omitted>,Ya salam 3alek ya shalby
Bkra movie night??,Andak fel beat ya mostafa .. Ok?
Nte  teskote 5alas 3shan ana msh  tay2eeek,Haha
la msh lsa hn7ki,:)
Ah,ah
elsa3a 1 ela,wnta hts7a bdri tzakr
awa,:)
Lsa fat7 a 88,lma howa ah a3d bt3ml eh
3aiz tseb elmob sibo bs tamshi 3la maw3ed mabzota,yala ya ooz
yala,Ma Ana at5n2t meno
Y 88,Msh bzaker khals
Y3nei ana b2ali yumen ahu,Bgeb drgat helwa fe l dros 3can
Bzaker,5las e2flo
wb3den mnta bt2aw7 m3aya nw 3ashan 3aiz t3od,:)
D ana mraw7 ableki,nta lw kont 5alst drs wmro7tsh tse3 wraw7t 3la tol kan zamank m5ls mozkra bdri 3n kda wl72t tzakr wa3dt 3la elnet nosaya
W men kan byse3,na kan 3andi drs mkontsh bse3
kant htfr2 m3ak,Ma ana raw7t mt25rtsh
:),nta bt2aw7 fe eh nw?
Wla haga,:)
Lmo23'za,:)
mo25ztk m3ak,Na l7ad nw hadi l omy
M3ndesh shak eni akhli m3aya,wlma tkrr htseb elmob wala la eb2a 2oli
yla ashofk 3la 5er b2a,3aiz 7aga?
La rbana y5liki,btw mtnsash exam ela7ia2 ellahi ykrmk ya rab isa t5li ziad a5ok yb3tholi aw howa yb3holi ay 7aga
bbye,Gebt 25/30
Fe l exam,L ryada
wel5 dargat dol ra7o fen,wb3den nta ft7t net leh
A3la wa7d gab 28,btw hya eldrga tt7d 7lwa wala w7sha 7asb elexam asln kan 3aml ezay
3'er eny ray7  l exam mt25r nos sa3a ml7a2tsh amt7n,:)
wnta btro7 mt25r leh ya ooz,3omomn hya eldrga msh bash3a btw
m32ola y3ni bs elmara elgya a7sn isa,nta ft7t net tany leh
:),Hwa kunt aflt
Lsa madthash l mob,Lsa
oltli,Mgatsh l mr7ala de
Ma na hzaker ahu,hhhhhhhh
tab wmbtzkrsh leh?,:)
Mastni akul,Lsa gy mn drs
la m3lshi ro7 8air hedomk we8sl weshk wendf kda w7dr 7agtk o3bal ma elakl y5ls,tlma madthash elmob yb2a t2fl wmtft7sh 8er lma t5ls
3'yrt,Mama bt7adrli bs
mashi ya ooz e2fl 7adr 7agtk,2odami hagat l chem
Aheh,wyaret tfdl mfahm so7abk nk ft7t
:),:)
Ha2fl,yalaaaaaaaaaaaaaaaaaaaaaaaaaa
yala,nta msh kont yst h2fl h2fl
Ma nty msh htskoti 2ala lma a2tlk w akhls mnk,Ma h2fl
etfl,etfdl
yala,m2fltsh leh
fe 60 dahia 3ail mot3b,Beet a 88a
T3rfi haga 3n l astmrat di,ah
bos,na rai7a youm eltlat hadf3 48 gnih whi2ololi s3tha a3ml eh wageb eh wh2olk
btw lazem tro7 elskol t3rf nte zar3a wala sana3a wt3rf exam nos elsana mta wtshof htmt7n fe eh,Na kalmt barkat
W 2ali wdi bukra 4 sawr,La ana haro7 bukra
P'a,la na aloli haty elflos wb3den hashof hi3ozo eh
nta eh ely gaibk hena asln,fat7 net leh
:),tab ro7 2oli hi2ololk eh
ya moriiiiiii,altom
Tmm,Wlahy ray7 atswr w gy 3la tul
lw al3t hedomi fe elshar3 wwal3t fe nafsi mtz3lsh wmtst8rbsh 3mlt kda leh k,La
La,Nty 3a2la
Mt3mleaash kda,la
sd2ni la,la a3ml kda wabo kda wom kda
La la,Nty 3a2la
nta gnntni 5alas,Y wlya  hatswr
3can l mdrsa,walwlo 3alik sa3a wwsakto
eh da y3ni na h3ml sh3ry 3ashan atswr la fakes,Hhhhhhhh
Yalla y m3fna,Wla na
Bs hya btigi sodf,mb7bsh elsawr bgd
la bgd bakrha na a5r sora etsawrtha wna d5la 1 sec,naset asln elsawr de
eh da la bgd y3 msh htswr,Na fe 3 a3dady
Hhhh,Tgesh nty mkani
Na bfakr atb3 sawr,Ly 7tha dp
Tb ma nty amr,:)
:),wmalo msh 3eb
?,Eh ygebi ashkali ll amr
b2olk eh na haro7 azakr na awla blw2t da bdl ma adi3o m3 ashkalk,lma a5ls hb2a aklmk
btw nta httsawr fen,wnta waslt fen nw
Mlkesh feh,As2li l amrat so7abk blash ashkali
Farok gaili,Ahu
:),Hhhhhhhh
b2olk eeeh,na bs2lk 3ashan a2olk nta odamk ad eh wtrw7
y3ni trod wnta sakt,kter 3la eragel ely hisawr wallhi kter
da a5r klam 3ndk,Ls
La,Fe flimng
fen nw,whttsawr fen
whttsawr fen,Fe flimng
Mashy,Ru7i zakri
yb2a odamk 15 bzbt,lma trw7 3arfni
wmtfaslsh,wmttsrm7sh
:),na hanam n
w,tsb7 3la 5er
Na fe l bet mn badri w zakrt l chem,W hnam
2oli lomk n elbershama ely hya edithali kan feha birosol wag3tli m3dty t2ribn kant hya btrosh aw kant rasha elsenya,:)
bt a44,Aywn
eh 7awar exam elzar3a welsan3a da,Bosy 4wya w h2olk 3l4an ana f eldars nw
k,Btt
Bosy ant konty zr3a htfdly zra3a zy ma anty,W homa lesa m7ddo4 elm3ad
Bs b2olk s7 tro7y yom elasbo3 ely gay w tdf3y 48 gneh,Llastmarat
W homa 2alo negy elasbo3 ely gay n4of 2yzen mnna eh w hynzlo wr2a b kda,3yzen
mashi a5ty rabna ys3dk,Hhhhhhhhhhhh
W ys3dk ya 8lya,Essra anty bt5dy kimia m3 men
mr yousry 3bd allh,eshm3na
L2 bs2l,mmmmm
nte bt5di m3 men,wbtfhmi mno 7aga?
Y3ny,Bosy hwa a5r goz2 f elbab eltalt da m4 fhma mno 7aga
tab wallhi kowes asl nas kter bishtko mno,A7an 5lsna w hybd2 f el3odwya
btw salmeli 3la elbt do7a awi 3ashan wa7sahani ollha 45 btrmi 3aliky elsalam,e7na lsa fe awl drs fe elbab eltalt asln 
msa msa,3leeeky
hhhhhhhhhhh,Tb a3ml eh f elgoz2 ely ana m4 fhma da
3ndo kteeeeeer,mna asln m3rfsh nte bttklmi 3n eh
bs howa m3ndhosh mos3da aw kda tro7lha bdri tshr7holk tany,taib mtro7lhom yshr7olk tany
M4 3rfa wlahy aslohom tnken awiiii,mafesh 7aga esmha kda
bflosk yama,A7la mesa 3laky w rbna bt2oly klam zy elfol
3eb 3aliky ,Exam mr/bassem elmara ely gaya l2 ely wraha
Da abn kalb ana m4 ty2a,ah y5ti wmst7lfli 5las
Y3ny ana lw gbt a2l mn 35 hykro4ny,Ntrmy f elshar3 rmyt elklba
aha,kolna hntkrsh karsh gama3i
ms3tha omi htkroshni f3ln 3ashan hya shifani mbzkrsh wmsh ti2ani,Leeeeeh kda ya bnty
mlish mazag zah2t 5las,w24 sa3a naima
Wlaaahy kolna kda bs hn3ml eh ast7mly hant kolha 5 4hor,Tb ma t5rogy 8yry gw
W b3d kda htrg3y zy elawl,Leeeeh 2ollha ya mama ana m5no2a w lazm a8yr gw 3l4an mzh2sh mn elmozkra
So7aby kolohm kda w by5rogo yom f elasbo3 w kda,ht2oli 3eshi m3ahom w5alihom y5rgoki 
Tb bosy yom el5mes bykon 3ndk f dros,la
5las zkry nos elyom l7d 6 msln w ba2y elyom a5rogy fe,W mamatk lma tl2eky btzakry htwaf2 3la fkra
ha7awl,da lma b2a
bs kda kda elesbo3 da mazno2a feh zan2t elklab flw kda hib2a elesbo3 ey gay isa,La ya moza tsb7y 3la 5eer 
na haro7 anam 3ashan bas2t msh adra 3aiza 7aga?,wnte mn ahlo :*
:),:)
:),:)
:),:)
:),Aha :-(
I booked up the ticket,:)
:),Ad3ili
Walahy hatw7shoni awy,:)
:-(,Al2aan
:),:)
:),:)
"Akeed ya Domo2 
U knw me l7l",:)
:),:)
:),7adr
D3watk plz,:)
:),Amin ya rab
:),Aywa
:),3172
:),<image omitted>
:),:)
:),:)
:),:)
:),:)
<image omitted>,:)
:),:)
:),:)
:),:)
:),:)
:),Ah
:),:)
:),:)
3amla eh,wallhii
Hehe,"Ana msada2aki , leh walahi !"
gat keda hhagahahha,Hahaha
Gaya emta bel salama ?,isaa
El sowar di tamam wala eh ?,L2 mtgbsh ash5as lw7dhm
Ana 3yz sowar ash5as ktyr f sura wa7da fr7anin,Tmam awiiiiii ya 3456
Msh la2y ay haga,:)
Bas el video alabt 3aleh el net walahy,Wla yhmk ya 3amona
Ana 7zbt el dnya,:)
:),<Media omitted>
:),:)
:),:)
:),:)
:),:)
:),:)
La la la,La la la la la we la la kaman
"Ana 7ases en my only girl best friend be3eeda 3anny gedan, I don't wanna sound like yumna bas that's the truth",Hahaahahahahaa
Eiddd,Ana asfaa wallahyyyy
Asfa 3ala a ya 3abeeta Ana Bahazar ma3aky ahahahhaha,Bas i was down the last couple of days
Fa kont mekawka3a fe nafsii,La la keda ba2a za3alteeny bgd
Ma3lesh el mohem enek u r better now,Ana bakhtafii a3oud shwaia
W arga3 koliii nashat w hayawyaa,Ahahahah
Bet3mel eh fe hayatak??,Wala haga mesh baroo7 gym
Badawar 3ala sho3'l,Ana kont bagrii fel nadi el sobh
Lazem tigy ma3aya mara,Yalla walahy
Friday morning taib ,Friday morning hagry fey attameya
Bas law mesh haroo7 ha2olek we ne3mel keda fe3lan,Khalass etaf2naa
W khalinii ashoufak on friday,Okay bas law 7assa enek medaye2a tani kalemeeny
Keda keda haklmk enhrda ashan ashoufak amel eh,Okay
:),:)
Elsa3a kam y3ni?,Coz ana e7tmal wla ynf3
:),:)
No ya ... lsa on tuesday isA,:)
Rbna y5aleki ya ... ,:)
Leeh el sobh a7san,:)
:),Tb shof eh
:),:)
Boso I prefer layla...bas zabato we 2ololy el ma3ad wel mkan,:)
:),:)
:),:)
:),Ehhh el zorf dahhhh 
Sorry ya gama3a i was out wl phone dah wifi bas,Zay manto 3ayzeen walahi
:),Sara
Allah yesalmk ya ...,:)
:),:)
Dah el sabt ya semsem,?
:),:)
:),Mashi ya semsema
Tgank u 7abebtu,7abebty
7abebtu????,Howwa meen da
Hahaha,7abebtyy yanii ro7yyy ya 7obyyy
:),:)
:),:)
:),:)
:),Ana ok m3aya elsabt bardo
Saloomyyyyy wahshteeennnyyyyyyyyy,7mdella 3la elslama klemtk mesh radety 3lya
M3akom isa,Ya banat
Etafa2to 3la emta w feen?,:)
Ok,7akhalas tamreen w agylko
Bas 7at2akhar shewaya,El tamreen yekhlas ala 5 30
Monmo,N?
Amta el 3aza 6d y3rf 7aga,:)
Alah yr7mo,:((((
Ana msh 3rfa ah el asbo3 dh,Kol yoom 7alat wafa
7d y3rf amta el 3aza?,Today afternoon fi beit mamto fi ibrahimeya
:),msh faham 
Msh 3ayz y5las el yom !!,:)
hahaha 3shan al 2gaza,isa mtl2ish sho3'l bokra ktiir w t3ody fdya 
Hruh akid hala2i sh3'l bl habal,Msh knt agza 5amis 
isa la2,"yomna bih eh ra2yak 2klam
alaa"
w 2s2lha 3shan kda 2b2a 2flt sf7at alaa 5las,Tklmha 3adi wla f el howar ??
2s2lha momkan tfkry aw fih sika,wala 2fltih bas kda
Bos ana bsra7a shyfa en law etkkmt ma3aha f howar,Enta kda bt5ali shaklk we7sh enta w 99998888
Ya3ni enta mafroud f wa7da f hayatak,W bts2al wa7da tnya law fy amal
fham wallahi,Omda enta sure enk bt7b 99998888 ??
nw 2ana msh 3aref 7aga,wallahi bgd
w 3mlt 7aga sob7 bas 3sh3'lt mo5y shwaya,3amalt eh
2oltlha mntklmsh fil 7ob w romncya ktiiir al 2yam dih 3shan kda kda msh 7ntklam ktiiir w kda 3shan kolia w kda,2ana f3lan wallahi msh 3aref 7aga
wallahi,Bos enta f el case ely hya brain VS heart dh
Enta msh 3ayz t5sar alaa,W f nafs el wa2t msh 3ayz 99998888 tetla3 men 7ayatak
Memashi el donya kda,msh kda
Till lma t3rf alaa eh nzamha,W dh msh sa7
2ana kont mkrar alaa 5las w sf7a w 2t2flat w kol dah,w 99998888 bant nas w kwysa w kol dah w hya al w7ida 2li bat7as bya bat7bni bgd
bas lama l2at bab kol shwaya low alaa gaaat 7t3mal eh,f3lan msh 3aref 2roood zay m7sal fil ftar
msh 7asis zay 2li kont b7aso zman,wallahi
Aywa y3ni fy wla mafish ?,msh 3aref b2ali sana mshofthash 2slan
:),Ya fy ya mafish
Law fy .. mafish alb yshil 2,akid 3ared
3aref,fokak man alaa 2slan
kda kda 2ana msh 3ayaz 2zlam 99998888 m3aya 2slan,Omda enta lsa far2a ma3ak Alaa ?
Tyb law kalmt alaa w 2altlk fy amal,Hatsib 99998888 ?
yomna 2nty msh 3rfa 2ana 2zay kont b7ab alaa wallahi,2nty 3rfa kont 3ayaz 23mal eh al sna 2li faaattt
Eh,oqsem b allah kont 7s2lha 2ana gahaz w 3ndy sha2a dah low kan 3ndy s3tha
w 25od r2yaha 3shan 2gib man al 25ir w 25las,Tyb w now ?
mafish 7aga wallahi bas man s3at m kol shwaya 7ad ys2lni 3ala alaa,2btdat 2fkar 73mal eh bas kda
howa dah 2li 5lany 2fkar,Omda bos Alaa 3andha 7aytha now w so7bha w msh 3aysha hena !! W alah a3lam el mwdu3 far2 ma3aha wla la2a
Ehna k basharbn7b ndwr 3ala el unknown,W enta msh btfkr f el madmoun ad m btfkr f haga ennta msh 3arfha
2ana msh 3rfny,2ana toht wala dah 2ana 
Hahahhaha la enta lzmlak a3da ya omda,:)
ya3ny 2nty r2yak mklmsh alaa fih ay 7aga wala 2s2lha momkan wala la2,la2 fih far2 ma3lish alaa dih w 2ana 8 sniin s3tak
Tyb so2al law altlk fy amal,Hadrtak ht3ml eh
msh 3aref ,bas 2mal bgd msh 2stban
bas momkan 2rta7,Tyb lma trt7 ?
tsd2y 2ana msh 3aref 3ayaz eh bgd,:)
f3lan bardo msh 3aref b7ab 99998888 wala la2,B2lk eh ana lsw roht nady bkra enta lik a3da ma3aya
:),3'laaat 3ala meaan 3lia man al 2wal 2li 2oltlhaaa low kont ktmt gowaya mknsh 7y7sal 7aga
bas al 3'lat man 3ndy kont ktmt kan 7y7sal 7aga wallahi mknsh 7y7sal 7aga bas eh lzmto 7ta low nsba bsita 1 % momkan 2zlam 99998888 eh lzmthaaa,Enta asdk now 3ala alaa wla 99998888 3shn msh fhma
Hahahahhahah,College ??
bas ya rab 2l7a2 ,:)
